split,fpr_target,AUROC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_def@FPR,FPR_normal_realized,two_stage_known_success,two_stage_unknown_success,stage2_unknown_rate_known_all,stage2_unknown_rate_unknown_all,tau_stage1,kappa_stage2
split_a,0.05,0.578871,0.491031,0.837963,0.165217,0.35,0.13913,0.00463,0.086957,0.023148,2.021242,
split_a,0.1,0.578871,0.558296,0.902778,0.234783,0.456667,0.2,0.00463,0.086957,0.023148,1.976155,
split_a,0.15,0.578871,0.659193,0.972222,0.365217,0.58,0.3,0.013889,0.086957,0.023148,1.916966,
split_a,0.2,0.578871,0.690583,0.986111,0.413043,0.66,0.321739,0.018519,0.086957,0.023148,1.881131,
split_b,0.05,0.567178,0.377953,0.386667,0.365385,0.243333,0.360577,0.093333,0.076923,0.286667,2.023893,
split_b,0.1,0.567178,0.456693,0.47,0.4375,0.37,0.418269,0.113333,0.076923,0.286667,1.967526,
split_b,0.15,0.567178,0.561024,0.576667,0.538462,0.493333,0.514423,0.146667,0.076923,0.286667,1.91765,
split_b,0.2,0.567178,0.610236,0.623333,0.591346,0.563333,0.567308,0.166667,0.076923,0.286667,1.8713,
split_c,0.05,0.512876,0.359756,0.18,0.392086,0.306667,0.309353,0.02,0.176259,0.1,2.073113,
split_c,0.1,0.512876,0.506098,0.22,0.557554,0.496667,0.431655,0.04,0.176259,0.1,1.980132,
split_c,0.15,0.512876,0.573171,0.28,0.625899,0.633333,0.47482,0.04,0.176259,0.1,1.923187,
split_c,0.2,0.512876,0.631098,0.36,0.679856,0.69,0.514388,0.04,0.176259,0.1,1.884352,
split_d,0.05,0.473077,0.151575,0.006667,0.360577,0.12,0.326923,0.006667,0.144231,0.393333,2.119189,
split_d,0.1,0.473077,0.206693,0.036667,0.451923,0.196667,0.394231,0.023333,0.144231,0.393333,2.068543,
split_d,0.15,0.473077,0.287402,0.093333,0.567308,0.34,0.485577,0.046667,0.144231,0.393333,2.000749,
split_d,0.2,0.473077,0.360236,0.166667,0.639423,0.433333,0.538462,0.073333,0.144231,0.393333,1.9567,
