,method_system,split,fpr_target,AUROC_defect_screening,AUPRC_defect_screening,TPR_defect@FPR,TPR_unknown@FPR,FPR_known_as_unknown@FPR,FPR_normal_realized,Specificity_normal,FalseAlarms_per_100,acc_3way,balanced_acc_3way,macro_f1_3way,train_sec,infer_sec_per_image,total_split_sec
0,one_stage_global_mahalanobis,split_a,0.05,0.597215,0.688226,0.079158,0.042636,0.037166,0.034989,0.965011,3.498871,0.411401,0.356788,0.253177,739.05425,0.011593,905.083761
16,two_stage_cflow,split_a,0.05,0.578871,0.679274,0.491031,0.00463,0.008696,0.35,0.65,35,0.310992,0.270384,0.226657,20852,0.000058,20852.04358
1,one_stage_global_mahalanobis,split_a,0.1,0.597215,0.688226,0.127088,0.106589,0.067364,0.081264,0.918736,8.126411,0.410075,0.364617,0.284822,739.05425,0.011593,905.089496
17,two_stage_cflow,split_a,0.1,0.578871,0.679274,0.558296,0.00463,0.017391,0.456667,0.543333,45.666667,0.286863,0.255118,0.222218,20852,0.000058,20852.04358
2,one_stage_global_mahalanobis,split_a,0.15,0.597215,0.688226,0.1939,0.184109,0.108014,0.137698,0.862302,13.769752,0.411401,0.376678,0.319701,739.05425,0.011593,905.095029
18,two_stage_cflow,split_a,0.15,0.578871,0.679274,0.659193,0.013889,0.017391,0.58,0.42,58,0.280161,0.260572,0.23148,20852,0.000058,20852.04358
3,one_stage_global_mahalanobis,split_a,0.2,0.597215,0.688226,0.26289,0.251938,0.133566,0.187359,0.812641,18.735892,0.421564,0.395123,0.357628,739.05425,0.011593,905.100736
19,two_stage_cflow,split_a,0.2,0.578871,0.679274,0.690583,0.018519,0.026087,0.66,0.34,66,0.261394,0.248492,0.219452,20852,0.000058,20852.04358
4,one_stage_global_mahalanobis,split_b,0.05,0.613159,0.899541,0.137066,0.120403,0.075893,0.053047,0.946953,5.30474,0.24689,0.410845,0.232016,184.259652,0.010546,370.725386
20,two_stage_cflow,split_b,0.05,0.567178,0.712409,0.377953,0.093333,0.004808,0.243333,0.756667,24.333333,0.408416,0.403526,0.348868,20852,0.000048,20852.03887
5,one_stage_global_mahalanobis,split_b,0.1,0.613159,0.899541,0.230383,0.195209,0.107143,0.111738,0.888262,11.173815,0.302437,0.448955,0.279615,184.259652,0.010546,370.74878
21,two_stage_cflow,split_b,0.1,0.567178,0.712409,0.456693,0.113333,0.019231,0.37,0.63,37,0.383663,0.387201,0.344827,20852,0.000048,20852.03887
6,one_stage_global_mahalanobis,split_b,0.15,0.613159,0.899541,0.300421,0.243328,0.138393,0.1614,0.8386,16.139955,0.335662,0.463322,0.294779,184.259652,0.010546,370.76771
22,two_stage_cflow,split_b,0.15,0.567178,0.712409,0.561024,0.146667,0.019231,0.493333,0.506667,49.333333,0.376238,0.390855,0.355831,20852,0.000048,20852.03887
7,one_stage_global_mahalanobis,split_b,0.2,0.613159,0.899541,0.360827,0.27821,0.142857,0.206546,0.793454,20.654628,0.358323,0.470316,0.302193,184.259652,0.010546,370.778097
23,two_stage_cflow,split_b,0.2,0.567178,0.712409,0.610236,0.166667,0.019231,0.563333,0.436667,56.333333,0.371287,0.391816,0.358336,20852,0.000048,20852.03887
8,one_stage_global_mahalanobis,split_c,0.05,0.80054,0.861432,0.446558,0.066667,0.127613,0.048533,0.951467,4.853273,0.602513,0.465157,0.440679,433.79384,0.01133,595.149329
24,two_stage_cflow,split_c,0.05,0.512876,0.576588,0.359756,0.02,0.053957,0.306667,0.693333,30.666667,0.482484,0.350488,0.335998,20852,0.000058,20852.03616
9,one_stage_global_mahalanobis,split_c,0.1,0.80054,0.861432,0.577899,0.076923,0.137514,0.103837,0.896163,10.383747,0.638191,0.493412,0.481537,433.79384,0.01133,595.155022
25,two_stage_cflow,split_c,0.1,0.512876,0.576588,0.506098,0.04,0.086331,0.496667,0.503333,49.666667,0.452229,0.338185,0.335791,20852,0.000058,20852.03616
10,one_stage_global_mahalanobis,split_c,0.15,0.80054,0.861432,0.618659,0.076923,0.140814,0.138826,0.861174,13.882619,0.639698,0.494217,0.485242,433.79384,0.01133,595.160522
26,two_stage_cflow,split_c,0.15,0.512876,0.576588,0.573171,0.04,0.100719,0.633333,0.366667,63.333333,0.410828,0.310616,0.305485,20852,0.000058,20852.03616
11,one_stage_global_mahalanobis,split_c,0.2,0.80054,0.861432,0.673913,0.076923,0.144114,0.176072,0.823928,17.607223,0.645226,0.497937,0.49169,433.79384,0.01133,595.165675
27,two_stage_cflow,split_c,0.2,0.512876,0.576588,0.631098,0.04,0.107914,0.69,0.31,69,0.404459,0.307314,0.297489,20852,0.000058,20852.03616
12,one_stage_global_mahalanobis,split_d,0.05,0.592728,0.748142,0.189698,0.009103,0.106926,0.053047,0.946953,5.30474,0.410815,0.388349,0.297387,399.958048,0.010907,571.61552
28,two_stage_cflow,split_d,0.05,0.473077,0.632979,0.151575,0.006667,0.014423,0.12,0.88,12,0.418317,0.41094,0.333155,20852,0.000043,20852.03515
13,one_stage_global_mahalanobis,split_d,0.1,0.592728,0.748142,0.255653,0.015605,0.113001,0.099323,0.900677,9.93228,0.421308,0.400203,0.323191,399.958048,0.010907,571.621195
29,two_stage_cflow,split_d,0.1,0.473077,0.632979,0.206693,0.023333,0.033654,0.196667,0.803333,19.666667,0.414604,0.414979,0.347071,20852,0.000043,20852.03515
14,one_stage_global_mahalanobis,split_d,0.15,0.592728,0.748142,0.319724,0.015605,0.119077,0.164786,0.835214,16.478555,0.421711,0.402278,0.333998,399.958048,0.010907,571.628482
30,two_stage_cflow,split_d,0.15,0.473077,0.632979,0.287402,0.046667,0.052885,0.34,0.66,34,0.394802,0.40703,0.347713,20852,0.000043,20852.03515
15,one_stage_global_mahalanobis,split_d,0.2,0.592728,0.748142,0.380025,0.016905,0.125152,0.226862,0.773138,22.68623,0.418886,0.401055,0.33813,399.958048,0.010907,571.63497
31,two_stage_cflow,split_d,0.2,0.473077,0.632979,0.360236,0.073333,0.067308,0.433333,0.566667,43.333333,0.384901,0.404038,0.349782,20852,0.000043,20852.03515
